Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
NEM,59.53,6113600,2021-12-23,+1.76%,47471304000,18.11,-0.42%
NFLX,614.09,1621100,2021-12-23,-0.02%,272012416000,55.34,+19.36%
NI,26.87,2113100,2021-12-23,-0.19%,10551984000,19.94,+22.64%
NKE,165.67,3876900,2021-12-23,+0.14%,262225456000,43.31,+16.87%
NLOK,25.87,1692000,2021-12-23,+1.05%,15050002000,16.31,+23.43%
NLSN,21.04,2843100,2021-12-23,+1.94%,7551825000,11.6,+4.00%
NOC,381.17,610400,2021-12-23,+0.36%,60429928000,14.49,+26.78%
NOW,648.57,664700,2021-12-23,+0.72%,129065432000,441.05,+17.91%
NRG,42.2,1463600,2021-12-23,+0.31%,10332206000,5.19,+19.45%
NSC,287.53,1354100,2021-12-23,+0.79%,69968992000,24.51,+23.34%
NTAP,90.63,1583300,2021-12-23,+0.81%,20145054000,22.76,+36.97%
NTRS,118.21,470000,2021-12-23,+0.37%,24547604000,17.55,+28.50%
NUE,114.3,1191800,2021-12-23,+0.58%,32666828000,6.78,+117.42%
NVDA,296.4,34302102,2021-12-23,+0.82%,741000000000,88.35,+127.84%
NVR,5784.6299,7300,2021-12-23,-0.49%,20146132000,18.81,+39.67%
NWL,21.41,2894100,2021-12-23,+0.19%,9107814000,10.9,+0.85%
NWS,22.55,323300,2021-12-23,+2.13%,13323486000,26.93,+28.86%
NWSA,22.33,2272700,2021-12-23,+2.48%,13193501000,26.57,+26.27%
NXPI,227.35,920400,2021-12-23,+0.26%,60459872000,25.2,+44.94%
O,69.22,2863900,2021-12-23,+0.12%,27979624000,19.81,+14.49%
ODFL,348.31,393800,2021-12-23,+1.24%,40059484000,42.53,+76.96%
