Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
BPMC,110.97,150500,2021-12-23,+2.14%,6529253000,0,-10.85%
BRBR,27.01,306600,2021-12-23,-1.10%,1068596000,29.37,+10.20%
BRBS,17.83,13400,2021-12-23,+0.45%,334812000,0,+49.58%
BRC,53.8,267300,2021-12-23,+0.15%,2788508000,19.75,+9.48%
BRKL,15.89,152800,2021-12-23,+0.25%,1233700000,10.93,+34.32%
BRMK,9.52,1055600,2021-12-23,+1.93%,1263228000,13.15,-6.76%
BRP,34.82,199400,2021-12-23,-0.23%,3907291000,67.12,+19.62%
BRSP,9.75,502500,2021-12-23,-0.31%,1265209000,13.04,+28.29%
BRT,22.64,74600,2021-12-23,+2.68%,412863000,17.64,+53.80%
BRY,8.21,152900,2021-12-23,-0.36%,656858000,34.33,+106.80%
BSET,16.56,49600,2021-12-23,+0.36%,161556000,8.42,-17.03%
BSIG,25.66,778400,2021-12-23,+0.90%,2048156000,17.07,+36.34%
BSRR,27.28,12400,2021-12-23,+0.55%,420412000,9.87,+14.48%
BTAI,22.76,181000,2021-12-23,+4.21%,636825000,0,-57.86%
BTRS,8.04,746800,2021-12-23,+2.55%,1275377000,0,-49.56%
BTU,10.58,2520200,2021-12-23,-3.02%,1347892000,0,+468.82%
BTX,4.99,332600,2021-12-23,+2.46%,259700000,0,N/A
BUSE,26.99,65800,2021-12-23,+0.71%,1518673000,10.89,+26.18%
BV,13.95,92000,2021-12-23,+0.43%,1467540000,13.23,-5.81%
BVH,35.14,114400,2021-12-23,+1.62%,737131000,13.25,+171.14%
BVS,13.98,385000,2021-12-23,+1.75%,1051645000,5.07,N/A
BW,9.25,510600,2021-12-23,+4.28%,797914000,0,+162.04%
BWB,17.29,15200,2021-12-23,+0.35%,485278000,11.64,+40.00%
BXC,87.14,80300,2021-12-23,+3.33%,845842000,3.42,+192.51%
BXMT,31.46,708600,2021-12-23,+1.06%,5265712000,14.21,+10.81%
BY,26.89,43100,2021-12-23,+1.17%,1014049000,11.03,+72.81%
BYRN,13.99,137300,2021-12-23,+1.67%,330360000,0,-6.73%
BYSI,4.92,1290400,2021-12-23,+1.65%,192401000,0,-56.77%
BZH,22.71,213600,2021-12-23,-0.48%,714456000,5.65,+43.46%
CAC,48.2,26000,2021-12-23,+0.42%,715721000,10.17,+35.93%
CADE,29.15,411200,2021-12-23,+0.34%,3166127000,9.81,N/A
CAKE,40.26,957300,2021-12-23,-0.17%,2100324000,30.32,+7.39%
